,Time,Frame,bytes,Server/Client,Dest
0,0.503952,0,67500,Server,10.1.3.2
1,0.506907,0,67500,Server,10.1.3.4
2,0.513952,1,3081,Server,10.1.3.2
3,0.514642,0,67500,Server,10.1.3.3
4,0.516907,1,3081,Server,10.1.3.4
5,0.523854,0,4200,Client,NaN
6,0.523952,2,3081,Server,10.1.3.2
7,0.524642,1,3081,Server,10.1.3.3
8,0.526907,2,3081,Server,10.1.3.4
9,0.528958,1,4200,Client,NaN
10,0.533952,3,304068,Server,10.1.3.2
11,0.534642,2,3081,Server,10.1.3.3
12,0.536907,3,304068,Server,10.1.3.4
13,0.540059,0,4200,Client,NaN
14,0.543952,4,303744,Server,10.1.3.2
15,0.544642,3,304068,Server,10.1.3.3
16,0.545047,1,3081,Client,NaN
17,0.546907,4,303744,Server,10.1.3.4
18,0.549902,2,3081,Client,NaN
19,0.553952,5,303810,Server,10.1.3.2
20,0.554642,4,303744,Server,10.1.3.3
21,0.556907,5,303810,Server,10.1.3.4
22,0.563952,6,304299,Server,10.1.3.2
23,0.564642,5,303810,Server,10.1.3.3
24,0.566907,6,304299,Server,10.1.3.4
25,0.573952,7,304011,Server,10.1.3.2
26,0.574642,6,304299,Server,10.1.3.3
27,0.576907,7,304011,Server,10.1.3.4
28,0.583952,8,304230,Server,10.1.3.2
29,0.584642,7,304011,Server,10.1.3.3
30,0.586907,8,304230,Server,10.1.3.4
31,0.593952,9,303570,Server,10.1.3.2
32,0.594642,8,304230,Server,10.1.3.3
33,0.596907,9,303570,Server,10.1.3.4
34,0.603952,10,303942,Server,10.1.3.2
35,0.604642,9,303570,Server,10.1.3.3
36,0.606907,10,303942,Server,10.1.3.4
37,0.613952,11,304338,Server,10.1.3.2
38,0.614642,10,303942,Server,10.1.3.3
39,0.616907,11,304338,Server,10.1.3.4
40,0.623952,12,304359,Server,10.1.3.2
41,0.624642,11,304338,Server,10.1.3.3
42,0.626907,12,304359,Server,10.1.3.4
43,0.633952,13,304380,Server,10.1.3.2
44,0.634642,12,304359,Server,10.1.3.3
45,0.636907,13,304380,Server,10.1.3.4
46,0.643952,14,304095,Server,10.1.3.2
47,0.644642,13,304380,Server,10.1.3.3
48,0.646907,14,304095,Server,10.1.3.4
49,0.653952,15,304122,Server,10.1.3.2
50,0.654642,14,304095,Server,10.1.3.3
51,0.656907,15,304122,Server,10.1.3.4
52,0.663952,16,304005,Server,10.1.3.2
53,0.664642,15,304122,Server,10.1.3.3
54,0.666907,16,304005,Server,10.1.3.4
55,0.673952,17,303504,Server,10.1.3.2
56,0.674642,16,304005,Server,10.1.3.3
57,0.676907,17,303504,Server,10.1.3.4
58,0.683952,18,304521,Server,10.1.3.2
59,0.684642,17,303504,Server,10.1.3.3
60,0.686907,18,304521,Server,10.1.3.4
61,0.693952,19,304719,Server,10.1.3.2
62,0.694642,18,304521,Server,10.1.3.3
63,0.696907,19,304719,Server,10.1.3.4
64,0.703952,20,303903,Server,10.1.3.2
65,0.704642,19,304719,Server,10.1.3.3
66,0.706907,20,303903,Server,10.1.3.4
67,0.713952,21,304245,Server,10.1.3.2
68,0.71428,1,3081,Client,NaN
69,0.714642,20,303903,Server,10.1.3.3
70,0.716907,21,304245,Server,10.1.3.4
71,0.718528,2,3081,Client,NaN
72,0.723952,22,303597,Server,10.1.3.2
73,0.724642,21,304245,Server,10.1.3.3
74,0.726907,22,303597,Server,10.1.3.4
75,0.733952,23,304215,Server,10.1.3.2
76,0.734642,22,303597,Server,10.1.3.3
77,0.736907,23,304215,Server,10.1.3.4
78,0.743952,24,303459,Server,10.1.3.2
79,0.744642,23,304215,Server,10.1.3.3
80,0.746907,24,303459,Server,10.1.3.4
81,0.753952,25,304743,Server,10.1.3.2
82,0.754642,24,303459,Server,10.1.3.3
83,0.756907,25,304743,Server,10.1.3.4
84,0.763952,26,303975,Server,10.1.3.2
85,0.764642,25,304743,Server,10.1.3.3
86,0.766907,26,303975,Server,10.1.3.4
87,0.773952,27,304191,Server,10.1.3.2
88,0.774642,26,303975,Server,10.1.3.3
89,0.776907,27,304191,Server,10.1.3.4
90,0.783952,28,304230,Server,10.1.3.2
91,0.784642,27,304191,Server,10.1.3.3
92,0.786907,28,304230,Server,10.1.3.4
93,0.793952,29,303687,Server,10.1.3.2
94,0.794642,28,304230,Server,10.1.3.3
95,0.796907,29,303687,Server,10.1.3.4
96,0.803952,30,303720,Server,10.1.3.2
97,0.804642,29,303687,Server,10.1.3.3
98,0.806907,30,303720,Server,10.1.3.4
99,0.813952,31,303456,Server,10.1.3.2
100,0.814642,30,303720,Server,10.1.3.3
101,0.816907,31,303456,Server,10.1.3.4
102,0.823952,32,303801,Server,10.1.3.2
103,0.824642,31,303456,Server,10.1.3.3
104,0.826907,32,303801,Server,10.1.3.4
105,0.833952,33,304314,Server,10.1.3.2
106,0.834642,32,303801,Server,10.1.3.3
107,0.836907,33,304314,Server,10.1.3.4
108,0.843952,34,303708,Server,10.1.3.2
109,0.844642,33,304314,Server,10.1.3.3
110,0.846907,34,303708,Server,10.1.3.4
111,0.84885,3,304068,Client,NaN
112,0.853952,35,304056,Server,10.1.3.2
