,Unnamed: 0_Ours,Time,Frame_Ours,bytes_Ours,Server/Client_Ours,Dest_Ours,Unnamed: 0_Non-persistent,Frame_Non-persistent,bytes_Non-persistent,Server/Client_Non-persistent,Dest_Non-persistent,Unnamed: 0,Frame,bytes,Server/Client,Dest
0,5.0,0.523854,0.0,4200.0,Client,NaN,5.0,0.0,4200.0,Client,NaN,5.0,0.0,4200.0,Client,NaN
1,9.0,0.528958,1.0,4200.0,Client,NaN,9.0,1.0,4200.0,Client,NaN,9.0,1.0,4200.0,Client,NaN
2,13.0,0.5400590000000001,0.0,4200.0,Client,NaN,13.0,0.0,4200.0,Client,NaN,13.0,0.0,4200.0,Client,NaN
3,16.0,0.5450470000000001,1.0,3081.0,Client,NaN,16.0,1.0,3081.0,Client,NaN,16.0,1.0,3081.0,Client,NaN
4,18.0,0.549902,2.0,3081.0,Client,NaN,18.0,2.0,3081.0,Client,NaN,18.0,2.0,3081.0,Client,NaN
5,75.0,0.734992,1.0,3081.0,Client,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,77.0,0.73906,2.0,3081.0,Client,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,121.0,0.884359,3.0,345876.0,Client,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,123.0,0.8865139999999999,2.0,3081.0,Client,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,125.0,0.8887729999999999,3.0,345876.0,Client,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,163.0,1.0139799999999999,4.0,91000.0,Client,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11,164.0,1.0144600000000001,3.0,91000.0,Client,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12,166.0,1.01501,4.0,89600.0,Client,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13,168.0,1.02291,5.0,7000.0,Client,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14,169.0,1.02335,4.0,7000.0,Client,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
