,Time,Frame,bytes,Server/Client,Dest
0,0.503952,0,67500,Server,10.1.3.2
1,0.506907,0,67500,Server,10.1.3.4
2,0.513952,1,3081,Server,10.1.3.2
3,0.514642,0,67500,Server,10.1.3.3
4,0.516907,1,3081,Server,10.1.3.4
5,0.523854,0,4200,Client,NaN
6,0.523952,2,3081,Server,10.1.3.2
7,0.524642,1,3081,Server,10.1.3.3
8,0.526907,2,3081,Server,10.1.3.4
9,0.528958,1,4200,Client,NaN
10,0.533952,3,3753,Server,10.1.3.2
11,0.534642,2,3081,Server,10.1.3.3
12,0.536907,3,3753,Server,10.1.3.4
13,0.540059,0,4200,Client,NaN
14,0.543952,4,67908,Server,10.1.3.2
15,0.544642,3,3753,Server,10.1.3.3
16,0.545047,1,3081,Client,NaN
17,0.546907,4,67908,Server,10.1.3.4
18,0.549902,2,3081,Client,NaN
19,0.553952,5,67779,Server,10.1.3.2
20,0.554642,4,67908,Server,10.1.3.3
21,0.555191,1,3081,Client,NaN
22,0.556907,5,67779,Server,10.1.3.4
23,0.559258,2,3081,Client,NaN
24,0.563279,3,3753,Client,NaN
25,0.563952,6,67878,Server,10.1.3.2
26,0.564642,5,67779,Server,10.1.3.3
27,0.566907,6,67878,Server,10.1.3.4
28,0.573952,7,45150,Server,10.1.3.2
29,0.574642,6,67878,Server,10.1.3.3
30,0.576907,7,45150,Server,10.1.3.4
31,0.583952,8,68778,Server,10.1.3.2
32,0.584642,7,45150,Server,10.1.3.3
33,0.586907,8,68778,Server,10.1.3.4
34,0.593952,9,70017,Server,10.1.3.2
35,0.594642,8,68778,Server,10.1.3.3
36,0.596907,9,70017,Server,10.1.3.4
37,0.603952,10,78840,Server,10.1.3.2
38,0.604642,9,70017,Server,10.1.3.3
39,0.606907,10,78840,Server,10.1.3.4
40,0.609858,2,3081,Client,NaN
41,0.613888,3,3753,Client,NaN
42,0.613952,11,74832,Server,10.1.3.2
43,0.614642,10,78840,Server,10.1.3.3
44,0.616907,11,74832,Server,10.1.3.4
45,0.623952,12,77907,Server,10.1.3.2
46,0.624642,11,74832,Server,10.1.3.3
47,0.626907,12,77907,Server,10.1.3.4
48,0.633952,13,82353,Server,10.1.3.2
49,0.634642,12,77907,Server,10.1.3.3
50,0.636907,13,82353,Server,10.1.3.4
51,0.643952,14,87096,Server,10.1.3.2
52,0.644642,13,82353,Server,10.1.3.3
53,0.646907,14,87096,Server,10.1.3.4
54,0.653952,15,92808,Server,10.1.3.2
55,0.654642,14,87096,Server,10.1.3.3
56,0.655316,4,67908,Client,NaN
57,0.656907,15,92808,Server,10.1.3.4
58,0.663952,16,97950,Server,10.1.3.2
59,0.664642,15,92808,Server,10.1.3.3
60,0.666907,16,97950,Server,10.1.3.4
61,0.673952,17,104190,Server,10.1.3.2
62,0.674642,16,97950,Server,10.1.3.3
63,0.676907,17,104190,Server,10.1.3.4
64,0.683952,18,110121,Server,10.1.3.2
65,0.684642,17,104190,Server,10.1.3.3
66,0.686907,18,110121,Server,10.1.3.4
67,0.689227,3,3753,Client,NaN
68,0.693952,19,116898,Server,10.1.3.2
69,0.694642,18,110121,Server,10.1.3.3
70,0.696907,19,116898,Server,10.1.3.4
71,0.703952,20,103299,Server,10.1.3.2
72,0.704642,19,116898,Server,10.1.3.3
73,0.706907,20,103299,Server,10.1.3.4
74,0.713952,21,131919,Server,10.1.3.2
75,0.714642,20,103299,Server,10.1.3.3
76,0.716907,21,131919,Server,10.1.3.4
77,0.723952,22,109977,Server,10.1.3.2
78,0.724642,21,131919,Server,10.1.3.3
79,0.726907,22,109977,Server,10.1.3.4
80,0.730067,4,67908,Client,NaN
81,0.733952,23,148287,Server,10.1.3.2
82,0.734642,22,109977,Server,10.1.3.3
83,0.736907,23,148287,Server,10.1.3.4
84,0.743952,24,128277,Server,10.1.3.2
85,0.744642,23,148287,Server,10.1.3.3
86,0.746907,24,128277,Server,10.1.3.4
87,0.753952,25,139230,Server,10.1.3.2
88,0.754642,24,128277,Server,10.1.3.3
89,0.755241,5,67779,Client,NaN
90,0.756907,25,139230,Server,10.1.3.4
91,0.763952,26,145905,Server,10.1.3.2
92,0.764642,25,139230,Server,10.1.3.3
93,0.766907,26,145905,Server,10.1.3.4
94,0.773952,27,150747,Server,10.1.3.2
95,0.774642,26,145905,Server,10.1.3.3
96,0.776907,27,150747,Server,10.1.3.4
97,0.783952,28,151893,Server,10.1.3.2
98,0.784642,27,150747,Server,10.1.3.3
99,0.786907,28,151893,Server,10.1.3.4
100,0.787933,4,67908,Client,NaN
101,0.793952,29,156534,Server,10.1.3.2
102,0.794642,28,151893,Server,10.1.3.3
103,0.796907,29,156534,Server,10.1.3.4
104,0.804642,29,156534,Server,10.1.3.3
105,0.812528,5,67779,Client,NaN
106,0.837609,6,67878,Client,NaN
107,0.859676,5,67779,Client,NaN
108,0.884781,6,67878,Client,NaN
109,0.901637,7,45150,Client,NaN
110,0.906735,6,67878,Client,NaN
111,0.907768,7,45150,Client,NaN
112,0.960661,7,45150,Client,NaN
113,0.979465,8,68778,Client,NaN
114,0.986539,8,67378,Client,NaN
115,1.04248,8,67378,Client,NaN
