,Time,Frame,bytes,Server/Client,Dest
0,0.503952,0,67500,Server,10.1.3.2
1,0.506907,0,67500,Server,10.1.3.4
2,0.513952,1,3081,Server,10.1.3.2
3,0.514642,0,67500,Server,10.1.3.3
4,0.516907,1,3081,Server,10.1.3.4
5,0.523854,0,4200,Client,NaN
6,0.523952,2,3081,Server,10.1.3.2
7,0.524642,1,3081,Server,10.1.3.3
8,0.526907,2,3081,Server,10.1.3.4
9,0.528958,1,4200,Client,NaN
10,0.533952,3,154902,Server,10.1.3.2
11,0.534642,2,3081,Server,10.1.3.3
12,0.536907,3,154902,Server,10.1.3.4
13,0.540059,0,4200,Client,NaN
14,0.543952,4,156378,Server,10.1.3.2
15,0.544642,3,154902,Server,10.1.3.3
16,0.545047,1,3081,Client,NaN
17,0.546907,4,156378,Server,10.1.3.4
18,0.549902,2,3081,Client,NaN
19,0.553952,5,160893,Server,10.1.3.2
20,0.554642,4,156378,Server,10.1.3.3
21,0.556907,5,160893,Server,10.1.3.4
22,0.563952,6,177519,Server,10.1.3.2
23,0.564642,5,160893,Server,10.1.3.3
24,0.566907,6,177519,Server,10.1.3.4
25,0.573952,7,180312,Server,10.1.3.2
26,0.574642,6,177519,Server,10.1.3.3
27,0.576907,7,180312,Server,10.1.3.4
28,0.583952,8,187173,Server,10.1.3.2
29,0.584642,7,180312,Server,10.1.3.3
30,0.586907,8,187173,Server,10.1.3.4
31,0.593952,9,192846,Server,10.1.3.2
32,0.594642,8,187173,Server,10.1.3.3
33,0.596907,9,192846,Server,10.1.3.4
34,0.603952,10,193638,Server,10.1.3.2
35,0.604642,9,192846,Server,10.1.3.3
36,0.606907,10,193638,Server,10.1.3.4
37,0.613952,11,195633,Server,10.1.3.2
38,0.614642,10,193638,Server,10.1.3.3
39,0.616907,11,195633,Server,10.1.3.4
40,0.623952,12,196317,Server,10.1.3.2
41,0.624642,11,195633,Server,10.1.3.3
42,0.626907,12,196317,Server,10.1.3.4
43,0.633952,13,198228,Server,10.1.3.2
44,0.634642,12,196317,Server,10.1.3.3
45,0.636907,13,198228,Server,10.1.3.4
46,0.642599,1,3081,Client,NaN
47,0.643952,14,205989,Server,10.1.3.2
48,0.644642,13,198228,Server,10.1.3.3
49,0.646693,2,3081,Client,NaN
50,0.646907,14,205989,Server,10.1.3.4
51,0.653952,15,207594,Server,10.1.3.2
52,0.654642,14,205989,Server,10.1.3.3
53,0.656907,15,207594,Server,10.1.3.4
54,0.663952,16,210990,Server,10.1.3.2
55,0.664642,15,207594,Server,10.1.3.3
56,0.666907,16,210990,Server,10.1.3.4
57,0.673952,17,212043,Server,10.1.3.2
58,0.674642,16,210990,Server,10.1.3.3
59,0.676907,17,212043,Server,10.1.3.4
60,0.683952,18,215559,Server,10.1.3.2
61,0.684642,17,212043,Server,10.1.3.3
62,0.686907,18,215559,Server,10.1.3.4
63,0.693952,19,217647,Server,10.1.3.2
64,0.694642,18,215559,Server,10.1.3.3
65,0.696907,19,217647,Server,10.1.3.4
66,0.703952,20,238407,Server,10.1.3.2
67,0.704642,19,217647,Server,10.1.3.3
68,0.706907,20,238407,Server,10.1.3.4
69,0.713952,21,242091,Server,10.1.3.2
70,0.714642,20,238407,Server,10.1.3.3
71,0.716907,21,242091,Server,10.1.3.4
72,0.723021,3,154902,Client,NaN
73,0.723952,22,245283,Server,10.1.3.2
74,0.724642,21,242091,Server,10.1.3.3
75,0.726907,22,245283,Server,10.1.3.4
76,0.733952,23,248004,Server,10.1.3.2
77,0.734642,22,245283,Server,10.1.3.3
78,0.736907,23,248004,Server,10.1.3.4
79,0.743952,24,250362,Server,10.1.3.2
80,0.744642,23,248004,Server,10.1.3.3
81,0.746907,24,250362,Server,10.1.3.4
82,0.753952,25,250941,Server,10.1.3.2
83,0.754642,24,250362,Server,10.1.3.3
84,0.756907,25,250941,Server,10.1.3.4
85,0.763952,26,252426,Server,10.1.3.2
86,0.764642,25,250941,Server,10.1.3.3
87,0.766907,26,252426,Server,10.1.3.4
88,0.773952,27,259818,Server,10.1.3.2
89,0.774642,26,252426,Server,10.1.3.3
90,0.776907,27,259818,Server,10.1.3.4
91,0.783952,28,263454,Server,10.1.3.2
92,0.784642,27,259818,Server,10.1.3.3
93,0.786907,28,263454,Server,10.1.3.4
94,0.793952,29,265539,Server,10.1.3.2
95,0.794642,28,263454,Server,10.1.3.3
96,0.796907,29,265539,Server,10.1.3.4
97,0.799098,2,3081,Client,NaN
98,0.803952,30,266505,Server,10.1.3.2
99,0.804642,29,265539,Server,10.1.3.3
100,0.806907,30,266505,Server,10.1.3.4
101,0.813952,31,272070,Server,10.1.3.2
102,0.814642,30,266505,Server,10.1.3.3
103,0.816907,31,272070,Server,10.1.3.4
104,0.823952,32,277008,Server,10.1.3.2
105,0.824642,31,272070,Server,10.1.3.3
106,0.826907,32,277008,Server,10.1.3.4
107,0.833952,33,277965,Server,10.1.3.2
108,0.834642,32,277008,Server,10.1.3.3
109,0.836907,33,277965,Server,10.1.3.4
110,0.843952,34,279783,Server,10.1.3.2
111,0.844642,33,277965,Server,10.1.3.3
112,0.846907,34,279783,Server,10.1.3.4
